epoch,goal_achieved
0,"[True, False, True, True, True]"
1,"[False, True, False, False, False]"
2,"[False, False, False, True, False]"
3,"[False, True, False, False, False]"
4,"[False, False, False, False, False]"
5,"[True, False, True, False, False]"
6,"[True, True, False, True, True]"
7,"[False, False, False, False, False]"
8,"[False, True, False, True, True]"
9,"[True, False, True, False, False]"
10,"[False, True, False, True, False]"
11,"[True, False, False, True, False]"
12,"[False, False, False, False, False]"
13,"[False, True, True, False, True]"
14,"[False, True, True, True, True]"
15,"[True, False, False, True, True]"
16,"[True, False, True, True, True]"
17,"[True, False, False, True, True]"
18,"[True, False, True, False, False]"
19,"[True, True, True, True, False]"
20,"[False, False, True, False, True]"
21,"[True, False, False, True, True]"
22,"[True, False, False, True, True]"
23,"[False, False, False, True, False]"
24,"[True, False, False, False, True]"
25,"[False, False, True, True, True]"
26,"[True, True, True, True, True]"
27,"[False, True, False, True, True]"
28,"[True, True, True, True, False]"
29,"[False, True, False, True, True]"
30,"[True, True, False, False, True]"
31,"[True, True, True, True, True]"
32,"[True, True, True, False, False]"
33,"[False, True, True, False, False]"
34,"[True, True, True, True, False]"
35,"[False, True, False, False, False]"
36,"[True, True, True, True, True]"
37,"[True, True, True, True, False]"
38,"[True, True, False, True, False]"
39,"[False, False, False, False, False]"
40,"[False, True, True, False, False]"
41,"[False, True, True, True, True]"
42,"[True, True, False, True, True]"
43,"[True, True, True, True, True]"
44,"[True, True, True, True, True]"
45,"[True, True, True, True, True]"
46,"[True, True, True, True, True]"
47,"[True, True, True, True, False]"
48,"[True, True, False, True, False]"
49,"[False, True, False, True, True]"
50,"[True, False, True, True, False]"
51,"[False, True, True, False, False]"
52,"[True, False, True, True, False]"
53,"[False, False, True, False, True]"
54,"[True, False, False, False, False]"
55,"[True, True, True, True, True]"
56,"[True, False, True, True, True]"
57,"[True, False, True, True, False]"
58,"[True, True, True, True, False]"
59,"[True, False, False, True, False]"
60,"[False, True, True, True, False]"
61,"[True, True, True, False, True]"
62,"[True, True, True, True, True]"
63,"[False, False, False, False, False]"
64,"[False, True, True, True, False]"
65,"[False, False, True, False, False]"
66,"[True, True, False, True, False]"
67,"[True, True, True, False, True]"
68,"[True, True, True, True, True]"
69,"[True, True, False, True, True]"
70,"[True, True, True, True, True]"
71,"[True, False, True, True, True]"
72,"[False, True, False, True, True]"
73,"[True, True, True, True, False]"
74,"[True, False, True, False, True]"
75,"[True, True, False, False, True]"
76,"[True, True, True, True, True]"
77,"[True, True, True, False, True]"
78,"[False, True, True, False, True]"
79,"[False, True, True, False, False]"
80,"[True, True, True, True, True]"
81,"[False, True, True, False, True]"
82,"[False, True, True, True, True]"
83,"[False, False, False, True, True]"
84,"[True, True, False, False, False]"
85,"[True, False, False, True, False]"
86,"[False, True, False, True, True]"
87,"[True, True, False, True, True]"
88,"[False, True, True, True, True]"
89,"[True, True, True, True, False]"
90,"[True, False, True, True, True]"
91,"[True, False, True, True, True]"
92,"[True, False, True, True, True]"
93,"[True, True, True, False, True]"
94,"[True, True, True, False, False]"
95,"[True, True, True, True, True]"
96,"[False, False, True, True, False]"
97,"[True, False, True, True, True]"
98,"[True, True, False, True, True]"
99,"[True, True, True, True, False]"
100,"[True, True, True, False, True]"
101,"[False, True, True, True, False]"
102,"[True, True, False, True, True]"
103,"[True, True, True, False, True]"
104,"[True, True, True, False, False]"
105,"[True, True, True, False, False]"
106,"[True, True, True, False, True]"
107,"[True, True, True, True, False]"
108,"[False, True, True, True, True]"
109,"[True, True, False, True, True]"
110,"[True, True, True, False, False]"
111,"[True, True, True, False, True]"
112,"[False, True, True, True, False]"
113,"[False, True, True, True, False]"
114,"[False, True, True, True, True]"
115,"[True, False, True, True, True]"
116,"[False, True, True, True, True]"
117,"[True, True, False, True, False]"
118,"[True, True, True, False, True]"
119,"[False, True, True, False, True]"
120,"[True, True, True, False, True]"
121,"[True, True, True, True, False]"
122,"[True, False, True, True, True]"
123,"[False, False, False, True, False]"
124,"[True, True, True, True, True]"
125,"[True, True, True, False, True]"
126,"[False, False, True, True, True]"
127,"[False, False, True, True, True]"
128,"[True, False, True, True, True]"
129,"[True, True, True, True, True]"
130,"[False, True, False, False, False]"
131,"[True, False, False, True, True]"
132,"[True, False, True, False, False]"
133,"[True, True, True, True, False]"
